State,Topic,Question,Response,Score,Answer
Arkansas,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Arkansas,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Arkansas,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Arkansas,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Arkansas,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Arkansas,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Arkansas,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Arkansas,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Arkansas,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
Arkansas,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Arkansas,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Dissatisfied,2,B-Fair
California,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
California,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
California,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
California,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
California,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Dissatisfied,2,B-Fair
California,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
California,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
California,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
California,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
California,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
California,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
California,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
California,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
California,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Colorado,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
Colorado,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Colorado,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Colorado,Please indicate your overall satisfaction with this convening,Networking Opportunities,Neutral,3,C-Average
Colorado,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Neutral,3,C-Average
Colorado,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
Colorado,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Colorado,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Colorado,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Connecticut,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Connecticut,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Connecticut,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Connecticut,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Connecticut,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Connecticut,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Connecticut,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Neutral,3,C-Average
Connecticut,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Connecticut,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Connecticut,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Connecticut,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Connecticut,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Neutral,3,C-Average
Connecticut,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
Connecticut,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Connecticut,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Connecticut,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Connecticut,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Connecticut,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
Connecticut,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Dissatisfied,2,B-Fair
Connecticut,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Dissatisfied,2,B-Fair
Connecticut,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Connecticut,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Connecticut,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Connecticut,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Connecticut,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Delaware,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Delaware,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Delaware,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Delaware,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Delaware,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Delaware,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Delaware,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Neutral,3,C-Average
Delaware,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Delaware,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Delaware,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Dissatisfied,2,B-Fair
District Of Columbia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Dissatisfied,2,B-Fair
District Of Columbia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Dissatisfied,2,B-Fair
District Of Columbia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
District Of Columbia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
District Of Columbia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Neutral,3,C-Average
District Of Columbia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Dissatisfied,2,B-Fair
District Of Columbia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Neutral,3,C-Average
District Of Columbia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Dissatisfied,2,B-Fair
District Of Columbia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Neutral,3,C-Average
District Of Columbia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
District Of Columbia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Dissatisfied,2,B-Fair
District Of Columbia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
District Of Columbia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Dissatisfied,2,B-Fair
District Of Columbia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
District Of Columbia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Dissatisfied,2,B-Fair
District Of Columbia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Neutral,3,C-Average
District Of Columbia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
District Of Columbia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Neutral,3,C-Average
District Of Columbia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
District Of Columbia,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
District Of Columbia,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Plenary Speakers,Neutral,3,C-Average
Florida,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Florida,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Florida,Please indicate your overall satisfaction with this convening,Networking Opportunities,Neutral,3,C-Average
Florida,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Neutral,3,C-Average
Florida,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Somewhat Dissatisfied,2,B-Fair
Florida,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Plenary Speakers,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Neutral,3,C-Average
Florida,Please indicate your overall satisfaction with this convening,Networking Opportunities,Somewhat Satisfied,4,D-Good
Florida,Please indicate your overall satisfaction with this convening,Plenary Speakers,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Subject Matter Expert Conversations,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Peer-Led Conversations,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Team Time by Affinity Group,Very Satisfied,5,E-Excellent
Florida,Please indicate your overall satisfaction with this convening,Networking Opportunities,Very Satisfied,5,E-Excellent
